id,observed_on,time_observed_at,user_id,latitude,longitude,scientific_name
22100338,4/6/19,2019-04-06 17:51:32 UTC,655345,34.41503833,-119.8463133,Clivia
22100347,4/6/19,2019-04-06 17:52:51 UTC,655345,34.414555,-119.8463533,Hemerocallis lilioasphodelus
22100348,4/6/19,2019-04-06 17:53:39 UTC,624629,34.41458736,-119.8464372,Hemerocallis lilioasphodelus
22100361,4/6/19,2019-04-06 17:51:15 UTC,610142,34.40986983,-119.8457288,Carissa macrocarpa
22100377,4/6/19,2019-04-06 17:54:21 UTC,1376052,34.41162364,-119.8426808,Eschscholzia californica
22100391,4/6/19,2019-04-06 17:54:20 UTC,610142,34.41072709,-119.8454703,Melaleuca
22100395,4/6/19,2019-04-06 17:54:08 UTC,655345,34.414325,-119.845925,Erythrina
22100403,4/6/19,2019-04-06 17:54:33 UTC,624629,34.41421554,-119.8463772,Arecaceae
22100426,4/6/19,2019-04-06 17:55:00 UTC,610142,34.41066093,-119.8453532,Prunus
22100450,4/6/19,2019-04-06 17:56:13 UTC,624629,34.4138689,-119.8461324,Erythrina
22100464,4/6/19,2019-04-06 17:56:04 UTC,655345,34.41374167,-119.846595,Chasmanthe floribunda
22100468,4/6/19,2019-04-06 17:56:19 UTC,610142,34.41096646,-119.8454584,Liliopsida
22100560,4/6/19,2019-04-06 17:57:50 UTC,1583013,34.41322833,-119.846245,Erythrina
22100651,4/6/19,2019-04-06 18:00:39 UTC,624629,34.41209449,-119.8467657,Salvia rosmarinus
22100707,4/6/19,2019-04-06 18:00:51 UTC,655345,34.41206667,-119.8467633,Lantana
22100724,4/6/19,2019-04-06 18:01:28 UTC,624629,34.4120644,-119.8467926,Lantana
22100920,4/6/19,2019-04-06 15:58:42 UTC,98743,34.41270931,-119.8716623,Echium candicans
22100945,4/6/19,2019-04-06 17:48:06 UTC,1573615,34.40746538,-119.8484687,Encelia californica
22100960,4/6/19,2019-04-06 17:15:52 UTC,1316650,34.41165197,-119.8492457,Rhus ovata
22100961,4/6/19,2019-04-06 18:01:37 UTC,655345,34.41209167,-119.8467783,Salvia rosmarinus
22100964,4/6/19,2019-04-06 17:45:51 UTC,1573615,34.40815793,-119.8489416,Asteraceae
22100975,4/6/19,2019-04-06 17:20:58 UTC,1521145,34.40927113,-119.8468795,Encelia californica
22100978,4/6/19,2019-04-06 17:21:39 UTC,1316650,34.41098188,-119.8515382,Oxalis pes-caprae
22100990,4/6/19,2019-04-06 17:43:44 UTC,1573615,34.4082327,-119.8495759,Calystegia
22100991,4/6/19,2019-04-06 17:23:06 UTC,1316650,34.41100904,-119.8516063,Lavandula
